gencodeId	geneSymbol	chromosome	start	end	strand	tss	description
ENSRNOG00000046319	AABR07000046.1	1	396699	409750	+	396699	
ENSRNOG00000047964	AABR07000089.1	1	699412	708065	+	699412	vomeronasal type-2 receptor 26-like
ENSRNOG00000050370	Vom2r6	1	744615	755645	-	755645	vomeronasal 2 receptor, 6
ENSRNOG00000032365	Vom2r5	1	804861	813517	-	813517	vomeronasal 2 receptor, 5
ENSRNOG00000040300	Raet1e	1	1101964	1116926	-	1116926	retinoic acid early transcript 1E
ENSRNOG00000058808	AABR07000109.1	1	1115868	1115990	+	1115868	
ENSRNOG00000061316	Ulbp1	1	1180931	1220916	+	1180931	UL16 binding protein 1
ENSRNOG00000050129	AABR07000137.1	1	1390127	1392329	-	1392329	
ENSRNOG00000040316	AABR07000145.1	1	1439098	1442186	-	1442186	
ENSRNOG00000023659	AABR07000147.1	1	1454867	1474846	-	1474846	
ENSRNOG00000029897	AABR07000156.1	1	1545133	1546169	+	1545133	
ENSRNOG00000042852	AABR07000158.1	1	1617384	1619634	+	1617384	
ENSRNOG00000061806	AABR07000158.2	1	1628116	1628234	-	1628234	
ENSRNOG00000055877	AABR07000159.4	1	1669085	1669361	-	1669361	
ENSRNOG00000014303	Lrp11	1	1702695	1731210	+	1702695	LDL receptor related protein 11
ENSRNOG00000051899	AABR07000159.1	1	1726381	1726514	-	1726514	
ENSRNOG00000014330	Pcmt1	1	1736275	1767618	-	1767618	protein-L-isoaspartate (D-aspartate) O-methyltransferase 1
ENSRNOG00000049505	Nup43	1	1771709	1782091	+	1771709	nucleoporin 43
ENSRNOG00000014916	Lats1	1	1784077	1817310	+	1784077	large tumor suppressor kinase 1
ENSRNOG00000014996	Katna1	1	1825871	1867787	+	1825871	katanin catalytic subunit A1
ENSRNOG00000015239	Ginm1	1	1870387	1885875	-	1885875	glycoprotein integral membrane 1
ENSRNOG00000055508	AABR07000159.3	1	1885981	1886209	+	1885981	
ENSRNOG00000053710	AABR07000159.2	1	1888876	1889236	-	1889236	similar to 40S ribosomal protein S20
ENSRNOG00000015552	Ppil4	1	1897337	1929763	+	1897337	peptidylprolyl isomerase like 4
ENSRNOG00000016041	Zc3h12d	1	1938418	1972918	+	1938418	zinc finger CCCH type containing 12D
ENSRNOG00000016054	Tab2	1	1999595	2073896	-	2073896	TGF-beta activated kinase 1/MAP3K7 binding protein 2
ENSRNOG00000016381	Ust	1	2333777	2627747	-	2627747	uronyl-2-sulfotransferase
ENSRNOG00000054005	U6	1	2720298	2720403	+	2720298	U6 spliceosomal RNA
ENSRNOG00000059137	AABR07000173.1	1	2750891	2762394	-	2762394	
ENSRNOG00000013160	Sash1	1	2782863	2846200	-	2846200	SAM and SH3 domain containing 1
ENSRNOG00000052788	Gm25410	1	2886221	2886353	-	2886353	predicted gene, 25410
ENSRNOG00000023549	Samd5	1	3713749	3763392	-	3763392	sterile alpha motif domain containing 5
ENSRNOG00000031859	RGD1560633	1	3848618	3849080	-	3849080	similar to ribosomal protein L27a
ENSRNOG00000013351	Stxbp5	1	3858908	4011511	-	4011511	syntaxin binding protein 5
ENSRNOG00000061755	Gm25635	1	3952551	3952682	-	3952682	predicted gene, 25635
ENSRNOG00000053182	AABR07000200.1	1	4328344	4356492	-	4356492	
ENSRNOG00000042741	Adgb	1	4445026	4560789	-	4560789	androglobin
ENSRNOG00000014258	Rab32	1	4637490	4653210	-	4653210	RAB32, member RAS oncogene family
ENSRNOG00000057302	Gm23601	1	4731936	4732067	+	4731936	predicted gene, 23601
ENSRNOG00000014290	Grm1	1	4753143	5165859	-	5165859	glutamate metabotropic receptor 1
ENSRNOG00000041566	AABR07000220.1	1	5168026	5168116	-	5168116	
ENSRNOG00000014431	AABR07000222.1	1	5238339	5238900	-	5238900	dynactin 3-like 1
ENSRNOG00000014450	Shprh	1	5240179	5313054	+	5240179	SNF2 histone linker PHD RING helicase
ENSRNOG00000014852	Fbxo30	1	5366378	5388069	+	5366378	F-box protein 30
